
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="GDP contemp",="GDP lag",="GDP MA3",="Const GDP contemp",="Const GDP lag",="Const GDP MA3"

="temp_avg",="-0.0023",="",="",="-0.0404*",="",=""
="",="(0.0092)",="",="",="(0.0230)",="",=""

="precip_total",="-0.0001",="",="",="-0.0006**",="",=""
="",="(0.0001)",="",="",="(0.0003)",="",=""

="L1_temp",="",="-0.0068",="",="",="-0.0719**",=""
="",="",="(0.0096)",="",="",="(0.0311)",=""

="L1_precip",="",="0.0000",="",="",="-0.0005*",=""
="",="",="(0.0001)",="",="",="(0.0003)",=""

="temp_ma3",="",="",="-0.0250",="",="",="-0.0997"
="",="",="",="(0.0171)",="",="",="(0.0670)"

="precip_ma3",="",="",="0.0000",="",="",="-0.0010**"
="",="",="",="(0.0002)",="",="",="(0.0004)"

="N",="1131.0000",="1044.0000",="957.0000",="1095.0000",="1010.0000",="926.0000"
="Within R-squared",="0.1978",="0.1747",="0.1948",="0.0453",="0.0537",="0.0611"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
