county_fips,county_code,county_name,year,temp_avg,precip_total,state_name,county_name_census,pop_total,pop_growth_rate,state_name_fema,state_abbr,state_fips,county_name_fema,county_fips_3,county_fips_raw,risk_value,risk_score,risk_rating,eal_value_total,eal_score,eal_rating,sovi_score,sovi_rating,resl_score,resl_rating,drought_risk_value,drought_risk_score,drought_risk_rating,inland_flood_risk_value,inland_flood_risk_score,inland_flood_risk_rating,wildfire_risk_value,wildfire_risk_score,wildfire_risk_rating,heatwave_risk_value,heatwave_risk_score,heatwave_risk_rating,winter_weather_risk_value,winter_weather_risk_score,winter_weather_risk_rating,nri_version,inflow_returns,inflow_exemptions,outflow_returns,outflow_exemptions,net_migration_returns,net_migration_exemptions
27001,MN-001,Aitkin County,2011,40.575,372.87,Minnesota,Aitkin County,16170,,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,,,,,,
27001,MN-001,Aitkin County,2012,44.36666666666667,389.07,Minnesota,Aitkin County,16036,-0.8286951144093946,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,7631.0,15254.0,7193.0,14384.0,438.0,870.0
27001,MN-001,Aitkin County,2013,39.925,359.58,Minnesota,Aitkin County,15872,-1.0226989274133236,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,7302.0,14624.0,7141.0,14140.0,161.0,484.0
27001,MN-001,Aitkin County,2014,36.516666666666666,375.75,Minnesota,Aitkin County,15849,-0.1449092741935498,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,7293.0,14609.0,7110.0,14082.0,183.0,527.0
27001,MN-001,Aitkin County,2015,40.166666666666664,337.32,Minnesota,Aitkin County,15852,0.0189286390308573,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,6898.0,13683.0,6859.0,13558.0,39.0,125.0
27001,MN-001,Aitkin County,2016,43.6,406.62,Minnesota,Aitkin County,15754,-0.6182185213222335,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,7486.0,14648.0,7254.0,14139.0,232.0,509.0
27001,MN-001,Aitkin County,2017,42.65833333333333,411.01,Minnesota,Aitkin County,15792,0.2412085819474496,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,8277.0,16094.0,7705.0,14858.0,572.0,1236.0
27001,MN-001,Aitkin County,2018,39.25,373.33,Minnesota,Aitkin County,15887,0.60157041540021,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,7825.0,15066.0,7556.0,14519.0,269.0,547.0
27001,MN-001,Aitkin County,2019,38.4,404.66,Minnesota,Aitkin County,15886,-0.0062944545855092,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,7675.0,14704.0,7675.0,14567.0,0.0,137.0
27001,MN-001,Aitkin County,2020,40.46666666666667,385.57,Minnesota,Aitkin County,15708,-1.120483444542364,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,8457.0,16456.0,7610.0,14684.0,847.0,1772.0
27001,MN-001,Aitkin County,2021,42.1,302.25,Minnesota,Aitkin County,15954,1.566080977845674,Minnesota,MN,27,Aitkin,1,27001,19859135.661464974,56.583969465648856,Relatively Low,15472528.402201377,51.51608910891089,Relatively Low,72.86895674,Relatively High,98.15521628498728,Very High,92529.3142978427,43.225190839694655,Relatively Low,13323788.505358117,69.37022900763358,Relatively Low,75930.86971804316,57.601781170483456,Very Low,279029.4623264261,43.25626204238921,Relatively Low,19541.747375427876,21.133036282622538,Very Low,December 2025,8622.0,16131.0,7794.0,14530.0,828.0,1601.0
