county_fips,county_name_bea,year,bea_personal_income,bea_population,bea_pc_income
27001,Aitkin,1969,27173,11293,2406
27001,Aitkin,1970,29871,11458,2607
27001,Aitkin,1971,33724,11637,2898
27001,Aitkin,1972,37325,11985,3114
27001,Aitkin,1973,44212,12074,3662
27001,Aitkin,1974,48242,12102,3986
27001,Aitkin,1975,53626,12146,4415
27001,Aitkin,1976,62002,12347,5022
27001,Aitkin,1977,67810,12684,5346
27001,Aitkin,1978,74109,12901,5744
27001,Aitkin,1979,81622,13035,6262
27001,Aitkin,1980,92005,13384,6874
27001,Aitkin,1981,101990,13276,7682
27001,Aitkin,1982,110874,13248,8369
27001,Aitkin,1983,121552,13438,9045
27001,Aitkin,1984,129261,13218,9779
27001,Aitkin,1985,135461,13072,10363
27001,Aitkin,1986,141426,12773,11072
27001,Aitkin,1987,138679,12667,10948
27001,Aitkin,1988,143994,12542,11481
27001,Aitkin,1989,157391,12416,12676
27001,Aitkin,1990,166654,12462,13373
27001,Aitkin,1991,177871,12603,14113
27001,Aitkin,1992,188614,12825,14707
27001,Aitkin,1993,201388,13112,15359
27001,Aitkin,1994,214506,13524,15861
27001,Aitkin,1995,238603,13847,17231
27001,Aitkin,1996,256834,14181,18111
27001,Aitkin,1997,272902,14403,18948
27001,Aitkin,1998,296269,14840,19964
27001,Aitkin,1999,310953,15062,20645
27001,Aitkin,2000,334448,15282,21885
27001,Aitkin,2001,347222,15334,22644
27001,Aitkin,2002,363158,15616,23256
27001,Aitkin,2003,376350,15795,23827
27001,Aitkin,2004,387910,16028,24202
27001,Aitkin,2005,389541,16162,24102
27001,Aitkin,2006,409992,16357,25065
27001,Aitkin,2007,434657,16481,26373
27001,Aitkin,2008,462936,16422,28190
27001,Aitkin,2009,457669,16168,28307
27001,Aitkin,2010,486315,16207,30006
27001,Aitkin,2011,496117,16148,30723
27001,Aitkin,2012,497950,15998,31126
27001,Aitkin,2013,500895,15815,31672
27001,Aitkin,2014,534322,15776,33869
27001,Aitkin,2015,552481,15763,35049
27001,Aitkin,2016,568913,15642,36371
27001,Aitkin,2017,594427,15667,37941
27001,Aitkin,2018,633869,15738,40276
27001,Aitkin,2019,655457,15675,41815
27001,Aitkin,2020,737413,15714,46927
27001,Aitkin,2021,811145,15951,50852
27001,Aitkin,2022,789034,16142,48881
27001,Aitkin,2023,836331,16139,51820
27001,Aitkin,2024,877408,16335,53713
27003,Anoka,1969,559970,140975,3972
27003,Anoka,1970,586842,155900,3764
27003,Anoka,1971,627744,159044,3947
27003,Anoka,1972,689700,164099,4203
27003,Anoka,1973,776310,170598,4551
27003,Anoka,1974,865055,174892,4946
27003,Anoka,1975,952802,177915,5355
27003,Anoka,1976,1079893,180621,5979
27003,Anoka,1977,1243313,182056,6829
27003,Anoka,1978,1454245,186737,7788
27003,Anoka,1979,1721612,191741,8979
27003,Anoka,1980,1981971,196934,10064
27003,Anoka,1981,2180697,200223,10891
27003,Anoka,1982,2357606,203185,11603
27003,Anoka,1983,2565322,205362,12492
27003,Anoka,1984,2891167,208888,13841
27003,Anoka,1985,3122006,213359,14633
27003,Anoka,1986,3338139,218309,15291
27003,Anoka,1987,3582460,224834,15934
27003,Anoka,1988,3870390,232370,16656
27003,Anoka,1989,4199050,237833,17655
27003,Anoka,1990,4466947,245255,18213
27003,Anoka,1991,4704185,251565,18700
27003,Anoka,1992,5104920,257253,19844
27003,Anoka,1993,5469269,261729,20897
27003,Anoka,1994,5902327,268278,22001
27003,Anoka,1995,6255382,273226,22895
27003,Anoka,1996,6702900,278260,24089
27003,Anoka,1997,7141120,282976,25236
27003,Anoka,1998,7816341,288089,27132
27003,Anoka,1999,8389718,293599,28575
27003,Anoka,2000,9226536,299780,30778
27003,Anoka,2001,9731390,304823,31925
27003,Anoka,2002,10062852,308702,32597
27003,Anoka,2003,10526715,311863,33754
27003,Anoka,2004,11117174,316643,35109
27003,Anoka,2005,11192601,319830,34995
27003,Anoka,2006,11626314,323590,35929
27003,Anoka,2007,12231519,325767,37547
27003,Anoka,2008,12736441,327427,38899
27003,Anoka,2009,12445723,329635,37756
27003,Anoka,2010,12855622,331550,38774
27003,Anoka,2011,13613178,333469,40823
27003,Anoka,2012,14145817,337106,41963
27003,Anoka,2013,14444487,340545,42416
27003,Anoka,2014,15308282,343786,44529
27003,Anoka,2015,16033898,346545,46268
27003,Anoka,2016,16466131,349554,47106
27003,Anoka,2017,17270969,353776,48819
27003,Anoka,2018,18035585,357621,50432
27003,Anoka,2019,19000875,361593,52548
27003,Anoka,2020,20317497,364502,55740
27003,Anoka,2021,21826971,367835,59339
27003,Anoka,2022,22243427,369479,60202
27003,Anoka,2023,23257609,373090,62338
27003,Anoka,2024,24459050,376840,64906
27005,Becker,1969,62153,24234,2565
27005,Becker,1970,69173,24467,2827
27005,Becker,1971,74947,24880,3012
27005,Becker,1972,83802,25135,3334
27005,Becker,1973,110809,25957,4269
27005,Becker,1974,111974,25962,4313
27005,Becker,1975,123940,26973,4595
27005,Becker,1976,138854,27741,5005
27005,Becker,1977,152364,28007,5440
