county_fips,county_name_bps,year,bps_total_bldgs,bps_total_bldgs_rep,bps_total_units,bps_total_units_rep,bps_total_value,bps_total_value_rep,bps_bldgs_1_unit,bps_bldgs_1_unit_rep,bps_bldgs_2_units,bps_bldgs_2_units_rep,bps_bldgs_3_4_units,bps_bldgs_3_4_units_rep,bps_bldgs_5_units,bps_bldgs_5_units_rep,bps_units_1_unit,bps_units_1_unit_rep,bps_units_2_units,bps_units_2_units_rep,bps_units_3_4_units,bps_units_3_4_units_rep,bps_units_5_units,bps_units_5_units_rep,bps_value_1_unit,bps_value_1_unit_rep,bps_value_2_units,bps_value_2_units_rep,bps_value_3_4_units,bps_value_3_4_units_rep,bps_value_5_units,bps_value_5_units_rep
27001,Aitkin,1990,131,131,142,142,8703742,8703742,130,130,0,0,0,0,1,1,130,130,0,0,0,0,12,12,8318742,8318742,0,0,0,0,385000,385000
27001,Aitkin,1991,127,127,127,127,8338026,8338026,127,127,0,0,0,0,0,0,127,127,0,0,0,0,0,0,8338026,8338026,0,0,0,0,0,0
27001,Aitkin,1992,141,136,145,136,9718616,9388216,140,136,0,0,0,0,1,0,140,136,0,0,0,0,5,0,9558200,9388216,0,0,0,0,160416,0
27001,Aitkin,1993,169,162,177,162,5589312,5056000,167,162,0,0,0,0,2,0,167,162,0,0,0,0,10,0,5268480,5056000,0,0,0,0,320832,0
27001,Aitkin,1994,117,115,117,115,9055620,8943620,117,115,0,0,0,0,0,0,117,115,0,0,0,0,0,0,9055620,8943620,0,0,0,0,0,0
27001,Aitkin,1995,128,3,128,3,8767426,210000,128,3,0,0,0,0,0,0,128,3,0,0,0,0,0,0,8767426,210000,0,0,0,0,0,0
27001,Aitkin,1996,76,76,76,76,6422167,6422167,76,76,0,0,0,0,0,0,76,76,0,0,0,0,0,0,6422167,6422167,0,0,0,0,0,0
27001,Aitkin,1997,80,2,80,2,6475373,100000,80,2,0,0,0,0,0,0,80,2,0,0,0,0,0,0,6475373,100000,0,0,0,0,0,0
27001,Aitkin,1998,251,251,251,251,23147374,23147374,251,251,0,0,0,0,0,0,251,251,0,0,0,0,0,0,23147374,23147374,0,0,0,0,0,0
27001,Aitkin,1999,213,1,213,1,20203647,45000,213,1,0,0,0,0,0,0,213,1,0,0,0,0,0,0,20203647,45000,0,0,0,0,0,0
27001,Aitkin,2000,159,159,183,183,17984965,17984965,157,157,1,1,0,0,1,1,157,157,2,2,0,0,24,24,16724965,16724965,210000,210000,0,0,1050000,1050000
27001,Aitkin,2001,303,303,303,303,33774202,33774202,303,303,0,0,0,0,0,0,303,303,0,0,0,0,0,0,33774202,33774202,0,0,0,0,0,0
27001,Aitkin,2002,323,322,323,322,37432947,37352947,323,322,0,0,0,0,0,0,323,322,0,0,0,0,0,0,37432947,37352947,0,0,0,0,0,0
27001,Aitkin,2003,341,341,374,374,39955000,39955000,322,322,12,12,7,7,0,0,322,322,24,24,28,28,0,0,31955000,31955000,2400000,2400000,5600000,5600000,0,0
27001,Aitkin,2004,347,346,347,346,44863244,44733685,347,346,0,0,0,0,0,0,347,346,0,0,0,0,0,0,44863244,44733685,0,0,0,0,0,0
27001,Aitkin,2005,354,353,357,356,48211480,48081921,353,352,0,0,1,1,0,0,353,352,0,0,4,4,0,0,47836480,47706921,0,0,375000,375000,0,0
27001,Aitkin,2006,265,264,267,266,39381430,39251871,264,263,0,0,1,1,0,0,264,263,0,0,3,3,0,0,39180930,39051371,0,0,200500,200500,0,0
27001,Aitkin,2007,252,252,254,254,38431967,38431967,250,250,2,2,0,0,0,0,250,250,4,4,0,0,0,0,38023940,38023940,408027,408027,0,0,0,0
27001,Aitkin,2008,146,146,146,146,23527375,23527375,146,146,0,0,0,0,0,0,146,146,0,0,0,0,0,0,23527375,23527375,0,0,0,0,0,0
