county_fips,state_name,county_name,pop_total,year,pop_growth_rate
27081,Minnesota,Lincoln County,5754,2012,-0.9297520661157077
27081,Minnesota,Lincoln County,5755,2013,0.017379214459500858
27081,Minnesota,Lincoln County,5765,2014,0.17376194613378804
27081,Minnesota,Lincoln County,5710,2015,-0.9540329575021711
27081,Minnesota,Lincoln County,5703,2016,-0.12259194395797257
27081,Minnesota,Lincoln County,5665,2017,-0.6663159740487479
27081,Minnesota,Lincoln County,5668,2018,0.05295675198588867
27081,Minnesota,Lincoln County,5639,2019,-0.5116443189837727
27083,Minnesota,Lyon County,25828,2011,
27083,Minnesota,Lyon County,25633,2012,-0.7549945795260915
27083,Minnesota,Lyon County,25722,2013,0.3472086763156801
27083,Minnesota,Lyon County,25778,2014,0.21771246403856637
27083,Minnesota,Lyon County,25826,2015,0.18620529133368535
27083,Minnesota,Lyon County,25971,2016,0.561449701850858
27083,Minnesota,Lyon County,25929,2017,-0.16171884024488437
27083,Minnesota,Lyon County,25583,2018,-1.3344132052913737
27083,Minnesota,Lyon County,25474,2019,-0.42606418324668827
27085,Minnesota,McLeod County,36343,2011,
27085,Minnesota,McLeod County,35933,2012,-1.1281402195746137
27085,Minnesota,McLeod County,35900,2013,-0.09183758661953645
27085,Minnesota,McLeod County,35775,2014,-0.3481894150417775
27085,Minnesota,McLeod County,35814,2015,0.10901467505242124
27085,Minnesota,McLeod County,35749,2016,-0.18149327078795796
27085,Minnesota,McLeod County,35876,2017,0.35525469243895547
27085,Minnesota,McLeod County,35827,2018,-0.1365815587021979
27085,Minnesota,McLeod County,35893,2019,0.1842186060792228
27087,Minnesota,Mahnomen County,5473,2011,
27087,Minnesota,Mahnomen County,5505,2012,0.5846884706742106
27087,Minnesota,Mahnomen County,5468,2013,-0.6721162579473194
27087,Minnesota,Mahnomen County,5499,2014,0.566934893928317
27087,Minnesota,Mahnomen County,5432,2015,-1.218403346062924
27087,Minnesota,Mahnomen County,5484,2016,0.9572901325478611
27087,Minnesota,Mahnomen County,5567,2017,1.5134938001458709
27087,Minnesota,Mahnomen County,5497,2018,-1.2574097359439596
27087,Minnesota,Mahnomen County,5527,2019,0.5457522284882721
27089,Minnesota,Marshall County,9459,2011,
27089,Minnesota,Marshall County,9471,2012,0.12686330478908214
27089,Minnesota,Marshall County,9430,2013,-0.43290043290042934
27089,Minnesota,Marshall County,9420,2014,-0.10604453870625141
27089,Minnesota,Marshall County,9409,2015,-0.11677282377919873
27089,Minnesota,Marshall County,9369,2016,-0.42512488043362495
27089,Minnesota,Marshall County,9361,2017,-0.08538798164158257
27089,Minnesota,Marshall County,9383,2018,0.235017626321965
27089,Minnesota,Marshall County,9336,2019,-0.5009058936374267
27091,Minnesota,Martin County,20624,2011,
27091,Minnesota,Martin County,20459,2012,-0.8000387897595052
27091,Minnesota,Martin County,20422,2013,-0.180849503885816
27091,Minnesota,Martin County,20244,2014,-0.8716090490647366
27091,Minnesota,Martin County,20036,2015,-1.027464927879862
27091,Minnesota,Martin County,19904,2016,-0.6588141345577947
27091,Minnesota,Martin County,19866,2017,-0.19091639871382515
27091,Minnesota,Martin County,19772,2018,-0.47317024061209745
27091,Minnesota,Martin County,19683,2019,-0.45013149908962324
27093,Minnesota,Meeker County,23192,2011,
27093,Minnesota,Meeker County,23037,2012,-0.668333908244223
27093,Minnesota,Meeker County,23087,2013,0.21704214958544465
27093,Minnesota,Meeker County,23126,2014,0.16892623554380926
27093,Minnesota,Meeker County,23045,2015,-0.3502551241027385
27093,Minnesota,Meeker County,23064,2016,0.08244738555001074
27093,Minnesota,Meeker County,23047,2017,-0.0737079431148091
27093,Minnesota,Meeker County,23145,2018,0.4252180327157573
27093,Minnesota,Meeker County,23222,2019,0.33268524519334264
27095,Minnesota,Mille Lacs County,25847,2011,
27095,Minnesota,Mille Lacs County,25635,2012,-0.8202112430843012
27095,Minnesota,Mille Lacs County,25658,2013,0.08972108445484128
27095,Minnesota,Mille Lacs County,25562,2014,-0.37415231117000625
27095,Minnesota,Mille Lacs County,25494,2015,-0.26601987324935683
27095,Minnesota,Mille Lacs County,25594,2016,0.3922491566643149
27095,Minnesota,Mille Lacs County,25861,2017,1.04321325310619
27095,Minnesota,Mille Lacs County,26100,2018,0.9241715324233457
27095,Minnesota,Mille Lacs County,26277,2019,0.6781609195402272
27097,Minnesota,Morrison County,33259,2011,
27097,Minnesota,Morrison County,33103,2012,-0.4690459725187113
27097,Minnesota,Morrison County,32865,2013,-0.7189680693592715
27097,Minnesota,Morrison County,32816,2014,-0.149094781682646
27097,Minnesota,Morrison County,32775,2015,-0.12493905411994355
27097,Minnesota,Morrison County,32918,2016,0.43630816170860953
27097,Minnesota,Morrison County,33084,2017,0.5042833708001737
27097,Minnesota,Morrison County,33158,2018,0.22367307459798536
27097,Minnesota,Morrison County,33386,2019,0.6876168647083736
27099,Minnesota,Mower County,39351,2011,
27099,Minnesota,Mower County,39400,2012,0.12452034255800992
27099,Minnesota,Mower County,39330,2013,-0.17766497461928488
27099,Minnesota,Mower County,39417,2014,0.2212051868802467
27099,Minnesota,Mower County,39492,2015,0.1902732323616707
27099,Minnesota,Mower County,39567,2016,0.1899118808872613
27099,Minnesota,Mower County,39773,2017,0.5206358834382252
27099,Minnesota,Mower County,40142,2018,0.9277650667538273
27099,Minnesota,Mower County,40062,2019,-0.19929251158388173
27101,Minnesota,Murray County,8632,2011,
27101,Minnesota,Murray County,8574,2012,-0.6719184430027836
27101,Minnesota,Murray County,8507,2013,-0.7814322369955717
27101,Minnesota,Murray County,8437,2014,-0.8228517691313053
27101,Minnesota,Murray County,8394,2015,-0.5096598316937317
27101,Minnesota,Murray County,8305,2016,-1.0602811532046674
27101,Minnesota,Murray County,8332,2017,0.3251053582179475
27101,Minnesota,Murray County,8254,2018,-0.9361497839654342
27101,Minnesota,Murray County,8194,2019,-0.726920281075838
27103,Minnesota,Nicollet County,32966,2011,
27103,Minnesota,Nicollet County,33020,2012,0.16380513256082363
27103,Minnesota,Nicollet County,32981,2013,-0.11811023622047001
