county_fips,state_name,county_name,pop_total,year,npopchg,net_mig_census,pop_growth_rate
27143,Minnesota,Sibley County,14986,2022,21,3,0.14032743067156073
27143,Minnesota,Sibley County,15179,2023,193,157,1.287868677432269
27143,Minnesota,Sibley County,15290,2024,111,52,0.7312734699255641
27143,Minnesota,Sibley County,15356,2025,66,10,0.4316546762589857
27145,Minnesota,Stearns County,158456,2020,174,-69,
27145,Minnesota,Stearns County,159112,2021,656,-6,0.4139950522542568
27145,Minnesota,Stearns County,160119,2022,1007,319,0.6328875257680222
27145,Minnesota,Stearns County,161805,2023,1686,932,1.0529668559009275
27145,Minnesota,Stearns County,163113,2024,1308,548,0.8083804579586573
27145,Minnesota,Stearns County,164110,2025,997,189,0.6112327037084642
27147,Minnesota,Steele County,37388,2020,-21,-30,
27147,Minnesota,Steele County,37441,2021,53,-18,0.141756713383967
27147,Minnesota,Steele County,37471,2022,30,0,0.08012606500895636
27147,Minnesota,Steele County,37462,2023,-9,-20,-0.024018574364170764
27147,Minnesota,Steele County,37453,2024,-9,-32,-0.024024344669260067
27147,Minnesota,Steele County,37464,2025,11,-21,0.029370143913709512
27149,Minnesota,Stevens County,9672,2020,-5,-23,
27149,Minnesota,Stevens County,9692,2021,20,-1,0.20678246484697738
27149,Minnesota,Stevens County,9777,2022,85,34,0.8770119686339228
27149,Minnesota,Stevens County,9921,2023,144,88,1.4728444308069966
27149,Minnesota,Stevens County,9828,2024,-93,-115,-0.9374055034774731
27149,Minnesota,Stevens County,9747,2025,-81,-100,-0.8241758241758212
27151,Minnesota,Swift County,9801,2020,-30,-32,
27151,Minnesota,Swift County,9787,2021,-14,-11,-0.14284256708498866
27151,Minnesota,Swift County,9760,2022,-27,-14,-0.27587616225605016
27151,Minnesota,Swift County,9687,2023,-73,-88,-0.7479508196721274
27151,Minnesota,Swift County,9721,2024,34,18,0.35098585733457366
27151,Minnesota,Swift County,9763,2025,42,31,0.4320543153996548
27153,Minnesota,Todd County,25291,2020,26,-14,
27153,Minnesota,Todd County,25290,2021,-1,-50,-0.003953975722592595
27153,Minnesota,Todd County,25571,2022,281,233,1.1111111111111072
27153,Minnesota,Todd County,25794,2023,223,99,0.8720816549998123
27153,Minnesota,Todd County,25965,2024,171,113,0.6629448709002173
27153,Minnesota,Todd County,26060,2025,95,27,0.36587714230695845
27155,Minnesota,Traverse County,3359,2020,-4,-9,
27155,Minnesota,Traverse County,3280,2021,-79,-51,-2.3518904435844035
27155,Minnesota,Traverse County,3260,2022,-20,9,-0.6097560975609762
27155,Minnesota,Traverse County,3176,2023,-84,-70,-2.5766871165644134
27155,Minnesota,Traverse County,3152,2024,-24,-9,-0.7556675062972307
27155,Minnesota,Traverse County,3130,2025,-22,-11,-0.6979695431472033
27157,Minnesota,Wabasha County,21394,2020,22,20,
27157,Minnesota,Wabasha County,21508,2021,114,99,0.5328596802841812
27157,Minnesota,Wabasha County,21650,2022,142,139,0.6602194532266958
27157,Minnesota,Wabasha County,21664,2023,14,41,0.06466512702079097
27157,Minnesota,Wabasha County,21554,2024,-110,-72,-0.5077548005908428
27157,Minnesota,Wabasha County,21537,2025,-17,21,-0.07887167115152582
27159,Minnesota,Wadena County,14124,2020,54,41,
27159,Minnesota,Wadena County,14146,2021,22,48,0.15576323987538387
27159,Minnesota,Wadena County,14270,2022,124,133,0.8765728827937247
27159,Minnesota,Wadena County,14240,2023,-30,28,-0.21023125437982237
27159,Minnesota,Wadena County,14355,2024,115,168,0.8075842696629199
27159,Minnesota,Wadena County,14388,2025,33,88,0.22988505747125743
27161,Minnesota,Waseca County,18973,2020,-1,-14,
27161,Minnesota,Waseca County,19015,2021,42,18,0.22136720602961013
27161,Minnesota,Waseca County,18967,2022,-48,4,-0.2524322902971332
27161,Minnesota,Waseca County,19043,2023,76,76,0.400695945589713
27161,Minnesota,Waseca County,18672,2024,-371,-356,-1.9482224439426599
27161,Minnesota,Waseca County,18688,2025,16,38,0.08568980291345785
27163,Minnesota,Washington County,268397,2020,832,541,
27163,Minnesota,Washington County,272698,2021,4301,3521,1.6024769278345063
27163,Minnesota,Washington County,276249,2022,3551,3021,1.302173099912718
27163,Minnesota,Washington County,278890,2023,2641,1986,0.956021560259046
27163,Minnesota,Washington County,282994,2024,4104,3551,1.4715479221198313
27163,Minnesota,Washington County,286895,2025,3901,3327,1.3784744552888029
27165,Minnesota,Watonwan County,11236,2020,-18,-28,
27165,Minnesota,Watonwan County,11158,2021,-78,-91,-0.6941972232111127
27165,Minnesota,Watonwan County,11243,2022,85,16,0.7617852661767399
27165,Minnesota,Watonwan County,11237,2023,-6,-65,-0.05336653917993317
27165,Minnesota,Watonwan County,11365,2024,128,49,1.139094064252033
27165,Minnesota,Watonwan County,11459,2025,94,14,0.8271007479102588
27167,Minnesota,Wilkin County,6477,2020,-30,-12,
27167,Minnesota,Wilkin County,6412,2021,-65,-41,-1.0035510267098924
27167,Minnesota,Wilkin County,6361,2022,-51,-26,-0.795383655645665
27167,Minnesota,Wilkin County,6350,2023,-11,4,-0.17292878478226692
27167,Minnesota,Wilkin County,6319,2024,-31,-12,-0.4881889763779568
27167,Minnesota,Wilkin County,6288,2025,-31,-23,-0.4905839531571421
27169,Minnesota,Winona County,49656,2020,-20,-43,
27169,Minnesota,Winona County,49794,2021,138,71,0.2779120347994102
27169,Minnesota,Winona County,49798,2022,4,67,0.008033096356996339
27169,Minnesota,Winona County,49904,2023,106,115,0.2128599542150278
27169,Minnesota,Winona County,50343,2024,439,482,0.8796890028855309
27169,Minnesota,Winona County,50523,2025,180,205,0.357547226029431
27171,Minnesota,Wright County,141876,2020,539,243,
