county_fips,state_name,county_name,pop_total,year,npopchg,net_mig_census,pop_growth_rate
27171,Minnesota,Wright County,145245,2021,3369,2640,2.374608813329959
27171,Minnesota,Wright County,148220,2022,2975,2184,2.048263279286733
27171,Minnesota,Wright County,151374,2023,3154,2269,2.127917959789505
27171,Minnesota,Wright County,154612,2024,3238,2378,2.1390727601833914
27171,Minnesota,Wright County,157559,2025,2947,2067,1.9060616252296159
27173,Minnesota,Yellow Medicine County,9498,2020,-27,-32,
27173,Minnesota,Yellow Medicine County,9444,2021,-54,-61,-0.5685407454200875
27173,Minnesota,Yellow Medicine County,9485,2022,41,69,0.43413807708598817
27173,Minnesota,Yellow Medicine County,9536,2023,51,1,0.5376910911966348
27173,Minnesota,Yellow Medicine County,9477,2024,-59,-91,-0.6187080536912748
27173,Minnesota,Yellow Medicine County,9477,2025,0,-39,0.0
