county_fips,county_name,year,nass_corn_planted_acres,nass_corn_grain_harv_acres,nass_corn_grain_yield_buac,nass_corn_silage_harv_acres,nass_corn_silage_yield_tonac,nass_soy_planted_acres,nass_soy_harv_acres,nass_soy_yield_buac,nass_swheat_planted_acres,nass_swheat_harv_acres,nass_swheat_yield_buac,nass_corn_grain_harv_acres_cv,nass_corn_grain_yield_buac_cv,nass_corn_planted_acres_cv,nass_corn_silage_harv_acres_cv,nass_corn_silage_yield_tonac_cv,nass_soy_harv_acres_cv,nass_soy_planted_acres_cv,nass_soy_yield_buac_cv,nass_swheat_harv_acres_cv,nass_swheat_planted_acres_cv,nass_swheat_yield_buac_cv
27161,Waseca,2016,119000,117600,204.6,,,79200,78600,61,,,,,,,,,,,,,,
27161,Waseca,2017,106500,104100,215,,,90000,89300,56.9,,,,,,,,,,,,,,
27161,Waseca,2018,117000,113600,197.3,2660,20.5,86800,85900,58.9,,,,,,,,,,,,,,
27161,Waseca,2019,115000,113200,183.8,,,83500,82800,52.4,,,,,,,,,,,,,,
27161,Waseca,2020,116500,114300,204.4,,,87300,86600,64.40000000000001,,,,1,2,.8,,,.6,.4,1.4,,,
27161,Waseca,2021,110000,108000,212.4,,,92900,92100,67.40000000000001,,,,.6,1.3,.3,,,.8,.2,1.1,,,
27161,Waseca,2022,113000,111800,215.1,,,90600,89800,60.5,,,,.6,1.3,.2,,,.4,.2,2.2,,,
27161,Waseca,2023,111500,111200,201.6,150,23.5,92900,92000,60.7,,,,.1,3.2,.2,8.6,8.5,.7,.2,1.5,,,
27163,Washington,2011,21500,21000,176.7,500,20,13700,13600,43.7,,,,,,,,,,,,,,
27163,Washington,2012,21600,21300,164.8,,,13600,13500,36.4,,,,,,,,,,,,,,
27163,Washington,2013,23100,22500,129,480,8.5,12500,12400,26.2,,,,,,,,,,,,,,
27163,Washington,2014,21400,20600,155.7,340,25,12400,12300,42.6,,,,,,,,,,,,,,
27163,Washington,2015,18700,17900,192.6,620,18,14000,13900,53.6,,,,,,,,,,,,,,
27163,Washington,2016,19600,18600,189.2,,,14000,13900,58.7,,,,,,,,,,,,,,
27163,Washington,2017,16200,15400,176.5,,,14700,14600,47.7,,,,,,,,,,,,,,
27163,Washington,2018,18200,17200,206.9,,,14200,14100,49.4,,,,,,,,,,,,,,
27163,Washington,2019,18000,17400,200.4,460,23.5,12300,12100,51,,,,,,,,,,,,,,
27163,Washington,2020,16900,16300,195.7,460,24.5,13400,13300,51.8,,,,.9,3.7,.5,2.6,7.8,.9,.7,2.7,,,
27163,Washington,2021,17700,16900,153,570,15.5,13500,13400,51.1,,,,1.1,2.9,.9,1,14.7,1,.6,2.1,,,
27163,Washington,2022,16800,16000,171.8,430,19.5,12600,12500,45.5,,,,.6,2.1,.2,.6,11.4,.4,.3,3.7,,,
27163,Washington,2023,15400,14700,194.6,660,17,13300,13200,51.4,,,,.5,3.1,.3,1.6,11.8,.8,.6,3.3,,,
27165,Watonwan,2011,136500,135600,177.4,780,21,99400,97400,45,,,,,,,,,,,,,,
27165,Watonwan,2012,140000,138000,174.2,580,20,94800,94200,48.9,,,,,,,,,,,,,,
27165,Watonwan,2013,139500,138000,189.9,630,15.5,92700,91800,53.5,,,,,,,,,,,,,,
27165,Watonwan,2014,140000,135900,186.3,,,95800,95200,52.3,,,,,,,,,,,,,,
27165,Watonwan,2015,128500,126200,206.1,,,103500,102900,59,,,,,,,,,,,,,,
27165,Watonwan,2016,134500,131100,187.4,,,98200,97200,58.5,,,,,,,,,,,,,,
27165,Watonwan,2017,122500,120700,218.9,,,106500,105600,60.9,,,,,,,,,,,,,,
27165,Watonwan,2018,125500,123600,150.2,,,101500,99600,52.5,,,,,,,,,,,,,,
27165,Watonwan,2019,124000,121400,172.2,,,96400,95600,48.1,,,,,,,,,,,,,,
27165,Watonwan,2020,131500,129500,208.1,,,97700,96800,61.8,200,190,42.6,1.1,1.6,.9,,,.5,.3,2.5,1.4,.7,2.1
27165,Watonwan,2021,123500,121100,209,,,105000,104100,62.7,,,,.6,1.3,.2,,,.8,.1,1.4,,,
27165,Watonwan,2022,130500,128900,212.5,,,98400,97700,60.7,300,290,45.2,.7,2,.2,,,.4,.2,2.9,1.2,.9,6.9
27165,Watonwan,2023,125500,124900,209.3,,,104000,103000,56.4,300,290,43.1,.1,1,.2,,,.7,.2,3.5,.7,.3,11.2
27167,Wilkin,2011,90700,89800,120.7,,,154500,152400,31,99500,96700,40.8,,,,,,,,,,,
27167,Wilkin,2012,106000,105000,166.2,,,160000,159000,41.7,84200,81700,60.7,,,,,,,,,,,
27167,Wilkin,2013,121000,119300,133.9,,,153000,151600,32.2,74000,70600,51.2,,,,,,,,,,,
27167,Wilkin,2014,95500,94300,136.2,,,177500,176300,37,67000,65500,51.6,,,,,,,,,,,
27167,Wilkin,2015,102500,100200,168.4,,,164500,163800,40.2,78900,72700,63.3,,,,,,,,,,,
27167,Wilkin,2016,120000,117300,183.9,,,165500,164500,44.1,66500,64000,65.2,,,,,,,,,,,
27167,Wilkin,2017,124500,123000,182.3,,,175500,174300,39.3,60100,58600,62.4,,,,,,,,,,,
27167,Wilkin,2018,,,,290,25,166000,164400,46,73700,72000,53.9,,,,,,,,,,,
27167,Wilkin,2019,,,,,,,,,62700,60800,48.6,,,,,,,,,,,
27167,Wilkin,2020,113500,109900,155.3,2570,17,158500,157100,37.1,67400,64000,56.9,.8,3.4,.3,.9,4.3,.5,.3,4.8,1.3,.1,3.5
27167,Wilkin,2021,136500,134200,150.3,,,159500,158100,35.8,57500,55200,56.9,.6,6.7,.1,,,.7,.1,4.4,1.4,.1,5.8
27167,Wilkin,2022,122000,118100,156.5,3560,23,154500,153300,37.2,59600,57500,53.7,.6,3,.2,.7,2.1,.4,.2,3.6,5.5,5.5,3.7
27167,Wilkin,2023,140500,132300,142.5,,,147500,146200,34.7,64200,62300,44.4,.1,3.1,.1,,,.6,.2,3.7,.5,.1,5.2
27169,Winona,2011,86900,75000,178.3,11900,22,27700,27500,49.5,,,,,,,,,,,,,,
27169,Winona,2012,90800,75000,177.5,15600,21,26500,26400,53.1,,,,,,,,,,,,,,
27169,Winona,2013,78000,65600,173.6,,,25600,25400,48.3,,,,,,,,,,,,,,
27169,Winona,2014,85500,74500,175.6,10800,23.5,25900,25600,53.3,,,,,,,,,,,,,,
27169,Winona,2015,80000,61100,186.5,17700,25.5,31200,30900,55.9,,,,,,,,,,,,,,
27169,Winona,2016,83400,68700,199.3,,,29900,29700,59.8,,,,,,,,,,,,,,
27169,Winona,2017,82600,65800,195.5,14800,24.5,33200,32900,52.8,,,,,,,,,,,,,,
27169,Winona,2018,83700,73300,200.9,,,,,,,,,,,,,,,,,,,
27169,Winona,2019,86900,70700,186.3,14900,22,29700,29400,53.2,,,,,,,,,,,,,,
27169,Winona,2020,82900,65000,197.1,17200,27,32300,32000,57.4,,,,.8,1.5,.4,.8,3.6,1.1,1,4.6,,,
27169,Winona,2021,79500,63900,204,14700,26,37700,37400,62.4,,,,1.2,1.3,1.1,1.3,3.3,1.1,1,2,,,
27169,Winona,2022,82000,65400,205.6,16100,25,36100,35800,62.2,400,320,40,.7,3,.3,.7,5.9,.4,.3,2.9,2,1.5,11
27169,Winona,2023,82700,62500,197.8,15800,24.5,36400,36100,51.4,400,390,51.8,.4,3,.1,.6,3.8,.8,.5,3.8,.6,.3,10.1
27171,Wright,2011,76900,72900,146.3,,,75000,74100,35.2,3100,2860,28.3,,,,,,,,,,,
27171,Wright,2012,84000,80900,167.1,,,71500,71100,45.9,2400,2320,50.4,,,,,,,,,,,
27171,Wright,2013,85500,82300,129.7,,,67100,66400,36.1,1400,1190,37.7,,,,,,,,,,,
27171,Wright,2014,63600,56900,129.4,,,57500,57100,34.7,1200,1090,44.3,,,,,,,,,,,
27171,Wright,2015,82000,73600,183.5,,,69500,69100,55.6,2600,2260,57.5,,,,,,,,,,,
27171,Wright,2016,79900,73900,183.1,,,73600,72800,54.3,2100,2010,51.7,,,,,,,,,,,
27171,Wright,2017,75800,70300,182.6,,,78000,77400,49.3,900,880,54,,,,,,,,,,,
27171,Wright,2018,,,,,,,,,2200,2070,43,,,,,,,,,,,
27171,Wright,2019,,,,,,,,,1800,1720,37.1,,,,,,,,,,,
27171,Wright,2020,77700,72300,202.1,,,73800,73200,54.7,,,,.8,3,.4,,,.5,.3,3.6,,,
27171,Wright,2021,80400,76000,144.1,,,71600,71100,46.1,1200,1110,46.1,.6,3.7,.2,,,.6,.2,3.5,1.1,.1,13.4
27171,Wright,2022,75600,70700,188.9,,,73300,72700,51.7,2100,2020,38.1,.6,3.9,.2,,,.4,.2,2.9,.6,.4,4
27171,Wright,2023,78900,77600,180.6,1260,20.5,70900,70300,54.9,,,,.1,4.6,.1,4,7.1,.5,.2,4.7,,,
27173,Yellow Medicine,2011,199000,196000,155.2,,,161500,158400,39.8,6000,5850,37.4,,,,,,,,,,,
27173,Yellow Medicine,2012,206000,200000,146.5,,,161000,160100,41.4,4100,3990,52.1,,,,,,,,,,,
27173,Yellow Medicine,2013,210500,207000,171.7,,,157000,155400,48.8,4100,4050,57,,,,,,,,,,,
27173,Yellow Medicine,2014,199000,187800,153.6,,,177000,173900,44.4,4400,4280,57,,,,,,,,,,,
27173,Yellow Medicine,2015,193000,181100,187.3,,,176500,175800,53.1,4700,4210,65.09999999999999,,,,,,,,,,,
27173,Yellow Medicine,2016,199000,194200,200,,,168000,167000,55.8,3900,3700,64.09999999999999,,,,,,,,,,,
27173,Yellow Medicine,2017,193000,187000,192,,,173500,172300,52.7,3400,3300,72.40000000000001,,,,,,,,,,,
27173,Yellow Medicine,2018,194500,191600,187.5,,,168500,166900,53,,,,,,,,,,,,,,
27173,Yellow Medicine,2019,163000,156700,174,,,129000,127600,44.1,,,,,,,,,,,,,,
27173,Yellow Medicine,2020,204500,199900,178,,,162000,160600,49.4,2300,2160,41.3,.8,2.2,.5,,,.5,.3,1.9,1.8,.1,5.3
27173,Yellow Medicine,2021,,,,,,,,,1600,1530,53.2,,,,,,,,,1.2,0,4.8
27173,Yellow Medicine,2022,189500,180900,191,,,171000,169600,49.7,,,,.6,2,.2,,,.4,.2,2.8,,,
27173,Yellow Medicine,2023,200500,199900,179.1,,,164500,162900,49.1,,,,.1,2.7,.1,,,.8,.4,4,,,
